DETC2007-34299,DETC2005-84904
DETC2008-50091,DETC2007-35479
DETC2007-35566,DETC2004-57134
DETC2011-47927,DETC2008-49137
DETC2011-47927,DETC2006-99118
DETC2006-99425,DETC2005-85260
DETC2012-70727,DETC2006-99163
DETC2010-28887,DETC2007-34698
DETC2010-28887,DETC2007-34698
DETC2007-34957,DETC2003-48708
DETC2007-34957,DETC2006-99077
DETC2007-35106,DETC2006-99731
DETC2007-35106,DETC2005-85019
DETC2007-35782,DETC2004-57486
DETC2007-35782,DETC2006-99500
DETC2007-35782,DETC2003-48760
DETC2011-47472,DETC2004-57464
DETC2011-47772,DETC2007-35580
DETC2005-85313,DETC2002-34106
DETC2008-50081,DETC2003-48709
DETC2009-87083,DETC2005-85061
DETC2007-34520,DETC2002-34092
DETC2012-70601,DETC2012-70601
DETC2008-49799,DETC2004-57076
DETC2002-34127,DETC2002-34127
DETC2009-86928,DETC2006-99187
DETC2007-34970,DETC2007-34970
DETC2012-71201,DETC2003-48734
DETC2012-71201,DETC2008-49137
DETC2012-71201,DETC2008-49176
DETC2012-71201,DETC2008-49561
DETC2012-70234,DETC2002-34127
DETC2012-70234,DETC2006-99458
DETC2007-35687,DETC2002-34106
DETC2009-87482,DETC2006-99322
DETC2006-99326,DETC2003-48726
DETC2011-48608,DETC2006-99412
DETC2009-86531,DETC2006-99412
DETC2010-28389,DETC2007-34970
DETC2007-35611,DETC2002-34106
DETC2007-35611,DETC2004-57134
DETC2012-71123,DETC2006-99118
DETC2012-71123,DETC2007-35580
DETC2012-71123,DETC2008-49176
DETC2010-28490,DETC2008-49561
DETC2012-70832,DETC2003-48755
DETC2004-57391,DETC2002-34037
DETC2011-47750,DETC2008-49650
DETC2008-49148,DETC2005-84489
DETC2008-49148,DETC2003-48734
DETC2008-49148,DETC2004-57134
DETC2011-48614,DETC2004-57134
DETC2011-48614,DETC2002-34128
DETC2010-28355,DETC2006-99412
DETC2008-49994,DETC2003-48759
DETC2008-49994,DETC2006-99412
DETC2012-70869,DETC2008-50054
DETC2007-35686,DETC2004-57050
DETC2011-47538,DETC2006-99412
DETC2009-86704,DETC2008-49156
DETC2012-70426,DETC2008-49137
DETC2012-70426,DETC2008-49176
DETC2006-99494,DETC2003-48734
DETC2012-70558,DETC2007-35580
DETC2004-57500,DETC2002-34127
DETC2006-99485,DETC2003-48751
DETC2010-28492,DETC2003-48783
DETC2007-35825,DETC2003-48734
DETC2010-28788,DETC2007-34698
DETC2008-49560,DETC2003-48760
DETC2011-47537,DETC2010-28591
DETC2011-47238,DETC2007-35580
DETC2007-35353,DETC2004-57096
DETC2010-28724,DETC2010-28724
DETC2012-70493,DETC2007-35580
DETC2008-49544,DETC2006-99469
DETC2007-34591,DETC2002-34086
DETC2006-99469,DETC2002-34106
DETC2011-48435,DETC2006-99412
DETC2011-48435,DETC2006-99316
DETC2012-70867,DETC2011-48390
DETC2009-86701,DETC2010-28597
DETC2009-86701,DETC2006-99458
DETC2009-86701,DETC2010-28591
DETC2011-47200,DETC2009-86587
DETC2011-47200,DETC2008-49156
DETC2009-86587,DETC2009-86587
DETC2009-87084,DETC2005-84523
DETC2009-86470,DETC2003-48783
DETC2009-87312,DETC2005-85019
DETC2009-87312,DETC2002-34127
DETC2009-87312,DETC2006-99118
DETC2005-84869,DETC2004-57141
DETC2012-71112,DETC2010-28813
DETC2012-71112,DETC2011-48316
DETC2012-71112,DETC2011-48566
DETC2012-71112,DETC2010-28489
DETC2010-28172,DETC2006-99412
DETC2011-47234,DETC2006-99458
DETC2010-28569,DETC2004-57357
DETC2010-28569,DETC2005-84928
DETC2011-48314,DETC2002-34127
DETC2009-87430,DETC2003-48760
DETC2006-99175,DETC2004-57050
DETC2011-47855,DETC2010-28178
DETC2011-48323,DETC2003-48760
DETC2006-99232,DETC2004-57255
DETC2006-99232,DETC2003-48709
DETC2006-99232,DETC2002-34127
DETC2012-70333,DETC2004-57134
DETC2003-48730,DETC2002-34083
DETC2005-84927,DETC2004-57141
DETC2011-47815,DETC2006-99240
DETC2011-47815,DETC2002-34127
DETC2003-48715,DETC2004-57255
DETC2003-48715,DETC2002-34127
DETC2005-84738,DETC2005-84738
DETC2009-87049,DETC2002-34127
DETC2009-87049,DETC2008-49137
DETC2010-28879,DETC2007-35479
DETC2006-99289,DETC2002-34106
DETC2005-84891,DETC2002-34127
DETC2010-28911,DETC2007-35497
DETC2010-28911,DETC2007-34587
DETC2009-87311,DETC2007-35743
DETC2011-47761,DETC2006-99412
DETC2006-99551,DETC2003-48734
DETC2012-71039,DETC2006-99412
DETC2010-28140,DETC2009-86282
DETC2010-28140,DETC2004-57134
DETC2008-49415,DETC2006-99412
DETC2009-87465,DETC2006-99500
DETC2009-87465,DETC2005-84928
DETC2009-87465,DETC2003-48760
DETC2007-35385,DETC2006-99500
DETC2007-35385,DETC2005-85019
DETC2007-35385,DETC2005-84928
DETC2008-49681,DETC2006-99412
DETC2012-70790,DETC2002-34127
DETC2012-70790,DETC2006-99732
DETC2011-48227,DETC2009-87522
DETC2006-99163,DETC2006-99508
DETC2004-57141,DETC2004-57141
DETC2003-48774,DETC2002-34150
DETC2011-47925,DETC2003-48785
DETC2006-99077,DETC2002-34128
DETC2006-99077,DETC2002-34127
DETC2006-99077,DETC2003-48709
DETC2010-28922,DETC2009-86268
DETC2008-49168,DETC2005-84523
DETC2010-28712,DETC2007-35479
DETC2005-84240,DETC2004-57522
DETC2011-48194,DETC2007-35580
DETC2012-70639,DETC2006-99500
DETC2005-84928,DETC2003-48734
DETC2005-84928,DETC2002-34127
DETC2005-84928,DETC2004-57357
DETC2010-28778,DETC2008-49137
DETC2010-28778,DETC2008-49176
DETC2011-47959,DETC2004-57464
DETC2011-47959,DETC2006-99268
DETC2011-47959,DETC2006-99499
DETC2011-47959,DETC2007-34507
DETC2011-47959,DETC2006-99163
DETC2011-47959,DETC2006-99469
DETC2007-35742,DETC2006-99322
DETC2011-47555,DETC2009-86322
DETC2011-47555,DETC2005-84287
DETC2009-86703,DETC2006-99731
DETC2011-47766,DETC2005-85342
DETC2009-87434,DETC2005-84928
DETC2009-87434,DETC2004-57357
DETC2009-87434,DETC2004-57484
DETC2012-70583,DETC2010-28489
DETC2012-70583,DETC2002-34149
DETC2005-84541,DETC2003-48789
DETC2008-49726,DETC2003-48783
DETC2009-86422,DETC2008-49176
DETC2009-86422,DETC2006-99118
DETC2010-28117,DETC2006-99412
DETC2010-28117,DETC2003-48759
DETC2011-48318,DETC2010-28724
DETC2009-86473,DETC2006-99232
DETC2009-86473,DETC2005-84693
DETC2009-86473,DETC2002-34127
DETC2009-87120,DETC2004-57484
DETC2012-71198,DETC2004-57464
DETC2012-71198,DETC2006-99322
DETC2009-87118,DETC2006-99163
DETC2012-71478,DETC2010-28748
DETC2010-28431,DETC2006-99458
DETC2006-99316,DETC2006-99412
DETC2006-99316,DETC2006-99316
DETC2011-47865,DETC2003-48709
DETC2011-47865,DETC2006-99232
DETC2003-48758,DETC2003-48760
DETC2011-47247,DETC2007-35361
DETC2011-47247,DETC2006-99187
DETC2012-71209,DETC2011-47409
DETC2007-35361,DETC2005-84489
DETC2007-35361,DETC2003-48734
DETC2007-35361,DETC2004-57134
DETC2010-28689,DETC2009-86282
DETC2009-87165,DETC2008-49137
DETC2011-48316,DETC2008-49561
DETC2011-48316,DETC2007-35580
DETC2010-28376,DETC2006-99187
DETC2012-71151,DETC2006-99469
DETC2012-71151,DETC2008-49544
DETC2011-48569,DETC2007-35479
DETC2011-48569,DETC2008-49681
DETC2006-99458,DETC2002-34127
DETC2006-99458,DETC2003-48709
DETC2012-70465,DETC2011-48435
DETC2011-47409,DETC2011-47409
DETC2004-57593,DETC2005-85260
DETC2006-99240,DETC2002-34127
DETC2006-99240,DETC2004-57255
DETC2012-71025,DETC2005-85414
DETC2009-87072,DETC2003-48751
DETC2011-48581,DETC2004-57464
